studentId	Predmet	ECTS	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OptinaPrebivalista	DatumDiplomiranja
16396	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Zenica	2017/18	DL	Kakanj	
16398	P-220	7	5		1	2018/2019	1	NE	7/19/2018	Ž	18	Medresa	Zenica	2017/18	DL	Zenica	
16399	P-220	7	6	2/14/2019	1	2018/2019	1	NE	7/19/2018	M	4	Medicinska	Vitez	2017/2018	DL	Vitez	
16400	P-220	7	8	2/14/2019	1	2018/2019	1	NE	7/19/2018	Ž	6	Ekonomska	Sarajevo - Novi grad	2017/18	DL	Sarajevo	
16401	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	2	Elektrotehnička	Mostar	2015/16	DL	Mostar	
16402	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Travnik	2017/18	Redovan samofinansirajući	Gornji Vakuf - Uskoplje	9/6/2022
16403	P-220	7	7	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	18	Medresa	Tuzla	2017/2018	Redovan samofinansirajući	Kalesija	
16404	P-220	7	8	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	
16405	P-220	7	6	1/31/2019	1	2018/2019	1	NE	7/19/2018	M	18	Medresa	Tuzla	2017/2018	Vanredan	Živinice	
16406	P-220	7	6	9/3/2021	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Sanski Most	2016/2017	Vanredan	Sanski Most	
16407	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/19/2018	M	1	Gimnazija	Sanski Most	2017/18	Vanredan	Sanski Most	
16408	P-220	7	9	2/14/2019	1	2018/2019	1	NE	7/19/2018	Ž	1	Gimnazija	Sanski Most	2016/2017	DL	Sanski Most	
16409	P-220	7	7	2/14/2019	1	2018/2019	1	NE	7/19/2018	M	3	Mašinska	Tuzla	2014/15	DL	Lukavac	
16410	P-220	7	8	2/14/2019	1	2018/2019	1	NE	7/19/2018	Ž	1	Gimnazija	Sarajevo - Centar	2017/2018	DL	Sarajevo - Novi grad	
16412	P-220	7	6	2/14/2019	1	2018/2019	1	NE	7/20/2018	M	35	Ostalo	Zenica	2013/2014	DL	Travnik	
