StudentId,P-104,P-12,P-140,P-141,P-142,P-143,P-145,P-146,P-147,P-148,P-149,P-150,P-151,P-152,P-153,P-154,P-155,P-156,P-157,P-158,P-159,P-160,P-161,P-162,P-175,P-176,P-177,P-178,P-218,P-219,P-220,P-221,P-222,P-223,P-224,P-225,P-226,P-227,P-228,P-229,P-230,P-231,P-232,P-233,P-234,P-235,P-236,P-237,P-238,P-239,P-24,P-240,P-241,P-246,P-247,P-276,P-277,P-278,P-279,P-280,P-33,P-45,P-50,P-58,P-7,P-8,P-85,P-88,DatumUpisa,SrednjaSkola,GodinaZavrsetka,NacinStudiranja,Diplomirao
16589,,7,,,,,,,,,5,,,,,,,,,,,,,,7,5,,,6,5,6,5,6,,,,,6,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,,,11/16/2018,Elektrotehnièka,2011/2012,DL,0
16591,9,10,9,7,7,9,10,9,9,8,7,5,10,7,8,,,5,5,9,7,7,,5,7,7,6,9,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,8,,,7,7,7,,,11/16/2018,Gimnazija,2011/2012,DL,0
17589,7,7,7,7,7,7,5,5,5,5,5,,,,,,,,,,,,5,,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,7,5,7,,,11/19/2018,Gimnazija,2008/09,DL,0
17590,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,,7,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,11/19/2018,Gimnazija,2004/05,DL,0
17591,6,7,7,6,9,6,8,6,7,6,10,5,5,9,7,,,5,5,7,5,,,5,8,7,6,6,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,9,,,7,6,8,6,,11/19/2018,Gimnazija,2007/08,DL,0
17592,8,9,8,7,7,10,7,7,8,9,6,8,6,9,8,,9,,8,7,7,8,,10,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,7,8,9,,,11/19/2018,Gimnazija,2013/14,DL,1
17593,8,8,8,8,7,6,8,7,7,5,6,8,5,5,5,,5,5,5,8,5,9,,5,10,7,6,6,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,8,7,9,,,11/19/2018,Elektrotehnièka,2011/12,DL,0
17594,10,10,10,10,10,7,10,9,10,8,7,5,10,5,7,,,5,10,10,5,,,5,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10,,,10,10,10,9,,11/20/2018,Elektrotehnièka,2008/2009,DL,0
17595,7,7,7,7,7,7,7,5,7,7,5,5,5,8,7,,,8,5,7,7,,,5,7,7,5,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,7,7,7,5,,11/20/2018,Elektrotehnièka,2006/2007,DL,0
17596,10,10,10,10,9,8,9,8,8,8,8,8,8,9,7,,9,,9,6,10,8,,10,8,8,7,10,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10,,,7,8,10,,,11/20/2018,Nema informacija,Nema informacija,DL,1
17597,6,7,6,6,6,7,7,6,7,6,5,5,5,5,6,,5,5,5,7,5,,,5,7,6,6,6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6,,,7,6,6,10,,11/23/2018,Gimnazija,2003/2004,DL,0
17598,6,8,8,6,9,6,8,8,8,6,8,7,7,7,9,,,9,7,7,7,,,10,7,8,7,9,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,8,,,8,6,8,10,,11/23/2018,Ekonomska,2007/08,DL,1
17599,6,8,6,6,10,6,8,6,7,8,8,9,8,8,7,,10,,7,9,7,,,5,7,7,6,7,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,7,,,9,8,8,10,,11/23/2018,Mješovita srednja škola,1994/95,DL,0
17600,6,7,8,6,7,7,9,5,5,5,5,,,,,,,,,,,,5,,5,5,5,6,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,7,6,8,,,11/23/2018,Gimnazija,2008/2009,DL,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
