studentId	Predmet	BrojKredita	Ocjene	PolozioDatum	Godina	SkolskaGodina	Semestar	Priznat	DatumUpisa	Spol	ZavrsenaSkolaId	SrednjaSkola	OpstinaRodjenja	GodinaZavrsetka	NacinStudiranja	OpstinaPrebivalista	Diplomirao
16326	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/17/2018	M	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	0
16327	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	1
16328	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/17/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	0
16329	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/17/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Mostar	1
16330	P-220	7	5		1	2018/2019	1	0	7/17/2018	M	23	Mješovita srednja škola	Travnik	2013/2014	DL	Novi Travnik	0
16331	P-220	7	8	2/14/2019	1	2018/2019	1	0	7/18/2018	M	4	Medicinska	Zenica	2017/2018	DL	Zenica	0
16332	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/18/2018	M	2	Elektrotehnička	Mostar	2017/2018	DL	Mostar	1
16333	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Cazin	2017/2018	Redovan samofinansirajući	Cazin	1
16334	P-220	7	6	8/26/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	DL	Jablanica	0
16335	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/18/2018	Ž	1	Gimnazija	Mostar	2017/2018	DL	Mostar	0
16336	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/18/2018	Ž	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	1
16337	P-220	7	8	2/14/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Zenica	2017/2018	DL	Zenica	0
16338	P-220	7	6	1/31/2019	1	2018/2019	1	0	7/18/2018	M	6	Ekonomska	Mostar	2017/2018	Redovan samofinansirajući	Mostar	0
16339	P-220	7	8	2/14/2019	1	2018/2019	1	0	7/18/2018	Ž	2	Elektrotehnička	Visoko	2017/2018	Redovan samofinansirajući	Visoko	0
16340	P-220	7	6	2/14/2019	1	2018/2019	1	0	7/18/2018	Ž	6	Ekonomska	Sarajevo - Centar	2017/18	DL	Ilidža	0
16341	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Mostar	2017/2018	Redovan samofinansirajući	Mostar	1
16342	P-220	7	7	1/31/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Sarajevo - Centar	2017/2018	Vanredan	Ilidža	0
16343	P-220	7	8	1/31/2019	1	2018/2019	1	0	7/18/2018	M	18	Medresa	Gradačac	2017/18	DL	Gradačac	0
16344	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	M	1	Gimnazija	Sjenica	2017/2018	DL	Ilidža	0
16345	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	Ž	13	Tehnička	Bugojno	2017/2018	Redovan samofinansirajući	Donji Vakuf	0
16348	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	M	13	Tehnička	Travnik	2017/2018	DL	Gornji Vakuf - Uskoplje	0
16349	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	M	13	Tehnička	Bugojno	2017/2018	DL	Bugojno	0
16350	P-220	7	7	2/14/2019	1	2018/2019	1	0	7/18/2018	M	18	Medresa	Tuzla	2017/18	DL	Tuzla	0
16351	P-220	7	5		1	2018/2019	1	0	7/18/2018	Ž	4	Medicinska	Mostar	2017/2018	DL	Mostar	0
